2024-11-02 02:16:32: ITM12NEO52DUG241101015332.json successfully integrated to Customer: Bara, Store: 02.
2024-11-02 02:16:32: ITM12NEO52DUG241101143205.json successfully integrated to Customer: Bara, Store: 02.
2024-11-02 02:16:32: PRM12NEO52DUG241101145022.json successfully integrated to Customer: Bara, Store: 02.
2024-11-02 02:16:33: ITM12NEO52DUG241101203222.json successfully integrated to Customer: Bara, Store: 02.
2024-11-02 02:16:43: ITM12NEO52RSW241101015334.json successfully integrated to Customer: Bara, Store: 03.
2024-11-02 02:16:43: ITM12NEO52RSW241101143202.json successfully integrated to Customer: Bara, Store: 03.
2024-11-02 02:16:43: PRM12NEO52RSW241101145022.json successfully integrated to Customer: Bara, Store: 03.
2024-11-02 02:16:44: ITM12NEO52RSW241101203220.json successfully integrated to Customer: Bara, Store: 03.
2024-11-02 02:16:44: PRM12NEO52RSW241101205108.json successfully integrated to Customer: Bara, Store: 03.
