2024-10-25 03:18:41: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 03:18:43: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 03:48:48: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 03:48:50: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 04:18:55: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 04:18:57: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 04:49:01: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 04:49:03: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 05:19:07: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 05:19:10: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 05:49:14: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 05:49:17: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 06:19:21: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 06:19:23: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 06:49:29: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 06:49:31: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 07:19:36: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 07:19:38: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 07:49:43: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 07:49:45: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 08:02:13: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 08:02:15: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 22:42:57: ITM12NEO52IGZ241025015214.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 22:42:57: ITM12NEO52IGZ241025133317.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 22:42:57: ITM12NEO52IGZ241025203224.json successfully integrated to Customer: Bara, Store: 02.
2024-10-25 22:43:05: ITM12NEO52RSW241025015213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 22:43:06: ITM12NEO52RSW241025133315.json successfully integrated to Customer: Bara, Store: 03.
2024-10-25 22:43:06: ITM12NEO52RSW241025203224.json successfully integrated to Customer: Bara, Store: 03.
