2024-10-12 19:35:34: ITM12NEO52IGZ240925133325.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:34: ITM12NEO52IGZ240925204740.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:34: ITM12NEO52IGZ240927021908.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:34: ITM12NEO52IGZ240927133609.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:35: ITM12NEO52IGZ240927203333.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:35: ITM12NEO52IGZ240928022257.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:35: ITM12NEO52IGZ240929133258.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:35: ITM12NEO52IGZ240930022833.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:35: ITM12NEO52IGZ240930131507.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:35: ITM12NEO52IGZ240930142414.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:36: ITM12NEO52IGZ240930200530.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:36: ITM12NEO52IGZ241001021546.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:36: PRM12NEO52IGZ241001145818.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:36: ITM12NEO52IGZ241001203220.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:36: ITM12NEO52IGZ241002020000.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:37: ITM12NEO52IGZ241002133202.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:37: PRM12NEO52IGZ241002142244.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:37: ITM12NEO52IGZ241002190247.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:37: ITM12NEO52IGZ241003015922.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:37: ITM12NEO52IGZ241003133208.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:38: ITM12NEO52IGZ241003203238.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:38: ITM12NEO52IGZ241004015432.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:38: ITM12NEO52IGZ241004203219.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:38: ITM12NEO52IGZ241005203150.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:38: ITM12NEO52IGZ241006015449.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:38: ITM12NEO52IGZ241006133429.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:39: ITM12NEO52IGZ241007203704.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:39: ITM12NEO52IGZ241008021000.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:39: ITM12NEO52IGZ241008133652.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:39: ITM12NEO52IGZ241008203338.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:39: ITM12NEO52IGZ241009015830.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:39: ITM12NEO52IGZ241009133559.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:40: ITM12NEO52IGZ241009203241.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:40: ITM12NEO52IGZ241010021031.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:40: ITM12NEO52IGZ241010133321.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:40: ITM12NEO52IGZ241010203329.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:40: ITM12NEO52IGZ241011133403.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:40: PRM12NEO52IGZ241011135110.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:41: ITM12NEO52IGZ241011203212.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:41: ITM12NEO52IGZ241012015630.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:35:41: ITM12NEO52IGZ241012133545.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-12 19:36:45: PRM12NEO52RSW240912213746.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:46: ITM12NEO52RSW240913022635.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:46: ITM12NEO52RSW240913133354.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:46: PRM12NEO52RSW240913143439.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:46: ITM12NEO52RSW240914021554.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:46: PRM12NEO52RSW240914143859.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:47: PRM12NEO52RSW240914165953.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:47: PRM12NEO52RSW240914204403.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:47: PRM12NEO52RSW240915031922.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:47: ITM12NEO52RSW240915133304.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:48: ITM12NEO52RSW240915204009.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:49: ITM12NEO52RSW240917133652.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:49: ITM12NEO52RSW240917203419.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:49: ITM12NEO52RSW240918021243.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:49: ITM12NEO52RSW240918133637.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:49: ITM12NEO52RSW240918205418.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:49: ITM12NEO52RSW240919021540.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:50: ITM12NEO52RSW240919133255.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:50: ITM12NEO52RSW240919205058.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:50: ITM12NEO52RSW240920021407.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:50: ITM12NEO52RSW240920133446.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:50: ITM12NEO52RSW240920203407.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:51: ITM12NEO52RSW240921133823.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:51: ITM12NEO52RSW240922133244.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:51: ITM12NEO52RSW240923133759.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:51: ITM12NEO52RSW240923203508.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:51: ITM12NEO52RSW240924133719.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:51: ITM12NEO52RSW240924203525.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:52: ITM12NEO52RSW240925133315.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:52: ITM12NEO52RSW240925204724.json.gz successfully integrated to Customer: Bara, Store: 03.
