2024-10-11 00:56:49: ITM12NEO52IGZ240910024134.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:49: ITM12NEO52IGZ240910105527.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:50: ITM12NEO52IGZ240910133218.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:50: ITM12NEO52IGZ240910203310.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:50: ITM12NEO52IGZ240911113358.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:51: PRM12NEO52IGZ240911223317.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:51: PRM12NEO52IGZ240912213831.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:51: ITM12NEO52IGZ240913022959.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:51: ITM12NEO52IGZ240913133404.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:52: PRM12NEO52IGZ240913143504.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:52: PRM12NEO52IGZ240914143904.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:52: PRM12NEO52IGZ240914165956.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:52: PRM12NEO52IGZ240914204404.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:53: PRM12NEO52IGZ240915031932.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:53: ITM12NEO52IGZ240915133320.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:53: ITM12NEO52IGZ240917133712.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:53: ITM12NEO52IGZ240917203430.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:54: ITM12NEO52IGZ240918021252.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:54: ITM12NEO52IGZ240918133648.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:54: ITM12NEO52IGZ240918205444.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:54: ITM12NEO52IGZ240919021554.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:55: ITM12NEO52IGZ240919133310.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:55: ITM12NEO52IGZ240919205115.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:55: ITM12NEO52IGZ240920021419.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:55: ITM12NEO52IGZ240920133458.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:56: ITM12NEO52IGZ240920203417.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:56: ITM12NEO52IGZ240921133840.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:56: ITM12NEO52IGZ240922133303.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:57: ITM12NEO52IGZ240923133817.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:57: ITM12NEO52IGZ240923203523.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:57: ITM12NEO52IGZ240924133741.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:57: ITM12NEO52IGZ240924203543.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:57: ITM12NEO52IGZ240925133325.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:58: ITM12NEO52IGZ240925204740.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:58: ITM12NEO52IGZ240927021908.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:58: ITM12NEO52IGZ240927133609.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:58: ITM12NEO52IGZ240927203333.json.gz successfully integrated to Customer: Bara, Store: 02.
2024-10-11 00:56:59: ITM12NEO52IGZ240928022257.json.gz successfully integrated to Customer: Bara, Store: 02.
