2024-10-17 02:43:28: ITM12NEO52IGZ241015020224.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:43:28: ITM12NEO52IGZ241015134032.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:43:28: ITM12NEO52IGZ241015203210.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:43:28: ITM12NEO52IGZ241016015901.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:43:29: ITM12NEO52IGZ241016134145.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:43:29: PRM12NEO52IGZ241016135017.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:43:29: ITM12NEO52IGZ241016203323.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:44:39: ITM12NEO52RSW240917133652.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:39: ITM12NEO52RSW240917203419.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:40: ITM12NEO52RSW240918021243.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:40: ITM12NEO52RSW240918133637.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:40: ITM12NEO52RSW240918205418.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:40: ITM12NEO52RSW240919021540.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:40: ITM12NEO52RSW240919133255.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:41: ITM12NEO52RSW240919205058.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:41: ITM12NEO52RSW240920021407.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:41: ITM12NEO52RSW240920133446.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:42: ITM12NEO52RSW240920203407.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:42: ITM12NEO52RSW240921133823.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:42: ITM12NEO52RSW240922133244.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:42: ITM12NEO52RSW240923133759.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:42: ITM12NEO52RSW240923203508.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:43: ITM12NEO52RSW240924133719.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:43: ITM12NEO52RSW240924203525.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:43: ITM12NEO52RSW240925133315.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:44: ITM12NEO52RSW240925204724.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:44: ITM12NEO52RSW240927021854.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:44: ITM12NEO52RSW240927133557.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:44: ITM12NEO52RSW240927203321.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:44: ITM12NEO52RSW240928022201.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:45: ITM12NEO52RSW240929133248.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:45: ITM12NEO52RSW240930022822.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:45: ITM12NEO52RSW240930131447.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:45: ITM12NEO52RSW240930142402.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:46: ITM12NEO52RSW240930200512.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:46: ITM12NEO52RSW241001021532.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:46: ITM12NEO52RSW241001135925.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:47: PRM12NEO52RSW241001145703.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:47: ITM12NEO52RSW241001203212.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:47: ITM12NEO52RSW241002015954.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:47: ITM12NEO52RSW241002133157.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:48: PRM12NEO52RSW241002142240.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:48: ITM12NEO52RSW241002190243.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:48: ITM12NEO52RSW241003015912.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:49: ITM12NEO52RSW241003133202.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:49: ITM12NEO52RSW241003203227.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:49: ITM12NEO52RSW241004015427.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:49: ITM12NEO52RSW241004203213.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:50: ITM12NEO52RSW241006015444.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:50: ITM12NEO52RSW241006133426.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:50: ITM12NEO52RSW241007203701.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:51: ITM12NEO52RSW241008133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:51: ITM12NEO52RSW241008203335.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:51: ITM12NEO52RSW241009015829.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:51: ITM12NEO52RSW241009133559.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:52: ITM12NEO52RSW241009203240.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:52: ITM12NEO52RSW241010021028.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:52: ITM12NEO52RSW241010133319.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:52: ITM12NEO52RSW241010203326.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:53: ITM12NEO52RSW241011133403.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:53: PRM12NEO52RSW241011135109.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:53: ITM12NEO52RSW241011203211.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:53: ITM12NEO52RSW241012015630.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:53: ITM12NEO52RSW241012133544.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:54: ITM12NEO52RSW241012203208.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:54: ITM12NEO52RSW241014203237.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:54: ITM12NEO52RSW241015020219.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:54: ITM12NEO52RSW241015134029.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:55: ITM12NEO52RSW241015203208.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:55: ITM12NEO52RSW241016015856.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:55: ITM12NEO52RSW241016134143.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:55: PRM12NEO52RSW241016135015.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:44:56: ITM12NEO52RSW241016203322.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:48:06: ITM12NEO52IGZ240917133712.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:48:06: ITM12NEO52IGZ240917203430.json successfully integrated to Customer: Bara, Store: 02.
2024-10-17 02:48:06: ITM12NEO52IGZ240918021252.json successfully integrated to Customer: Bara, Store: 02.
