2025-09-10 00:00:00: pending files successfully integrated to Customer: Bara, Store: 02.
2025-09-10 00:00:05: Download ITM12NEO52DUG250909232227.json.gz successfully integrated to Customer: 52DUG, Store: 12NEO.
2025-09-10 00:00:08: ITM12NEO52DUG250909232227.json successfully integrated to Customer: Bara, Store: 02.
2025-09-10 00:00:09: pending files successfully integrated to Customer: Bara, Store: 03.
2025-09-10 00:00:17: Download ITM12NEO52RSW250909232058.json.gz successfully integrated to Customer: 52RSW, Store: 12NEO.
2025-09-10 00:00:20: ITM12NEO52RSW250909232058.json successfully integrated to Customer: Bara, Store: 03.
2025-09-10 09:00:08: Download ITM12NEO52RSW250910081306.json.gz successfully integrated to Customer: 52RSW, Store: 12NEO.
2025-09-10 09:00:08: ITM12NEO52RSW250910081306.json successfully integrated to Customer: Bara, Store: 03.
2025-09-10 15:00:07: Download ITM12NEO52DUG250910144319.json.gz successfully integrated to Customer: 52DUG, Store: 12NEO.
2025-09-10 15:00:13: ITM12NEO52DUG250910144319.json successfully integrated to Customer: Bara, Store: 02.
2025-09-10 15:00:17: Download ITM12NEO52RSW250910144256.json.gz successfully integrated to Customer: 52RSW, Store: 12NEO.
2025-09-10 15:00:25: ITM12NEO52RSW250910144256.json successfully integrated to Customer: Bara, Store: 03.
2025-09-10 22:00:07: Download ITM12NEO52DUG250910215028.json.gz successfully integrated to Customer: 52DUG, Store: 12NEO.
2025-09-10 22:00:24: ITM12NEO52DUG250910215028.json successfully integrated to Customer: Bara, Store: 02.
2025-09-10 22:00:27: Download ITM12NEO52RSW250910214955.json.gz successfully integrated to Customer: 52RSW, Store: 12NEO.
2025-09-10 22:00:46: ITM12NEO52RSW250910214955.json successfully integrated to Customer: Bara, Store: 03.
