2025-09-24 00:00:01: pending files successfully integrated to Customer: Bara, Store: 02.
2025-09-24 00:00:06: pending files successfully integrated to Customer: Bara, Store: 03.
2025-09-24 15:00:06: Download ITM12NEO52DUG250924144649.json.gz successfully integrated to Customer: 52DUG, Store: 12NEO.
2025-09-24 15:00:08: ITM12NEO52DUG250924144649.json successfully integrated to Customer: Bara, Store: 02.
2025-09-24 15:00:13: Download ITM12NEO52RSW250924144628.json.gz successfully integrated to Customer: 52RSW, Store: 12NEO.
2025-09-24 15:00:16: ITM12NEO52RSW250924144628.json successfully integrated to Customer: Bara, Store: 03.
2025-09-24 21:00:32: ERROR API request failed to integrate to Customer: , Store: . Request timeout (30s) for URL: https://api.oxxo.io/xapi-multichannel-outbound/api/v1/documents
2025-09-24 22:00:06: Download ITM12NEO52DUG250924212641.json.gz successfully integrated to Customer: 52DUG, Store: 12NEO.
2025-09-24 22:00:08: Download ITM12NEO52DUG250924214410.json.gz successfully integrated to Customer: 52DUG, Store: 12NEO.
2025-09-24 22:00:08: SKIPPED ITM12NEO52DUG250924212641.json for Customer: Bara, Store: 02. No valid items to process
2025-09-24 22:00:12: ITM12NEO52DUG250924214410.json successfully integrated to Customer: Bara, Store: 02.
2025-09-24 22:00:15: Download ITM12NEO52RSW250924212616.json.gz successfully integrated to Customer: 52RSW, Store: 12NEO.
2025-09-24 22:00:17: Download ITM12NEO52RSW250924214345.json.gz successfully integrated to Customer: 52RSW, Store: 12NEO.
2025-09-24 22:00:17: SKIPPED ITM12NEO52RSW250924212616.json for Customer: Bara, Store: 03. No valid items to process
2025-09-24 22:00:21: ITM12NEO52RSW250924214345.json successfully integrated to Customer: Bara, Store: 03.
